Fixed/Offset Slit,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

532.00,6.13066328E+4,6.12798438E+4,6.23288516E+4,6.29266797E+4,6.30451172E+4,6.44691836E+4,6.44297031E+4,6.57536563E+4,6.61639609E+4,6.71382422E+4,6.80561250E+4,6.82831328E+4,6.92771563E+4,7.00892969E+4,7.28330859E+4,7.34252734E+4,7.40907734E+4,7.62268672E+4,7.72885703E+4,7.97602344E+4,8.03777969E+4,8.40606250E+4,8.68086484E+4,8.91393125E+4,9.35933906E+4,9.81644922E+4,1.02567813E+5,1.06589023E+5,1.08976094E+5,1.10249289E+5,1.12646227E+5,1.15969516E+5,1.18339672E+5,1.13245461E+5,
532.500,6.13605898E+4,6.12940703E+4,6.19337813E+4,6.21743906E+4,6.37779297E+4,6.39350313E+4,6.45506875E+4,6.60310938E+4,6.57140703E+4,6.68010234E+4,6.85107109E+4,6.78384375E+4,6.96882500E+4,6.98708281E+4,7.16909063E+4,7.33213359E+4,7.39780391E+4,7.56169688E+4,7.67265625E+4,7.88113125E+4,8.05903438E+4,8.37804531E+4,8.61482500E+4,9.00502500E+4,9.36154063E+4,9.78669844E+4,1.01267969E+5,1.06180500E+5,1.07895844E+5,1.09732922E+5,1.13551414E+5,1.18333734E+5,1.20252875E+5,1.15535664E+5,
533.00,6.09550234E+4,6.08243281E+4,6.23699375E+4,6.17605000E+4,6.38416797E+4,6.37791680E+4,6.50250313E+4,6.53432500E+4,6.69911406E+4,6.72638984E+4,6.79287344E+4,6.79429375E+4,6.95524844E+4,6.96249297E+4,7.24235078E+4,7.36651094E+4,7.41537969E+4,7.56525234E+4,7.74581094E+4,7.83204063E+4,8.02637891E+4,8.20494844E+4,8.66209688E+4,8.93385703E+4,9.38816406E+4,9.80297891E+4,1.02241859E+5,1.05755000E+5,1.08290766E+5,1.09969906E+5,1.14258703E+5,1.17706500E+5,1.21226734E+5,1.15929328E+5,
533.500,6.08220469E+4,6.04627344E+4,6.20539688E+4,6.27226914E+4,6.30363750E+4,6.47730469E+4,6.48685781E+4,6.52777969E+4,6.63685625E+4,6.67677969E+4,6.84360313E+4,6.83248125E+4,6.96137734E+4,7.02981719E+4,7.19036719E+4,7.38642031E+4,7.48936563E+4,7.53214063E+4,7.68570391E+4,7.91683281E+4,8.08992969E+4,8.28526953E+4,8.61706250E+4,8.94685938E+4,9.24443203E+4,9.72037734E+4,1.01442789E+5,1.04859109E+5,1.06912320E+5,1.10351438E+5,1.13824789E+5,1.17921227E+5,1.23109859E+5,1.17353750E+5,
534.00,6.07155391E+4,6.07885234E+4,6.14339297E+4,6.20650313E+4,6.26946953E+4,6.35504688E+4,6.48570234E+4,6.53020859E+4,6.61163594E+4,6.71824922E+4,6.77520547E+4,6.85992422E+4,6.96968672E+4,6.95652109E+4,7.22885156E+4,7.36337031E+4,7.47213125E+4,7.64257031E+4,7.74932734E+4,7.84163125E+4,8.07661094E+4,8.26593984E+4,8.56116719E+4,8.90290469E+4,9.27912969E+4,9.69871563E+4,1.00659266E+5,1.04710578E+5,1.06406391E+5,1.08913609E+5,1.14410313E+5,1.19198625E+5,1.22628875E+5,1.17021984E+5,
534.500,6.03987891E+4,6.04576797E+4,6.14214258E+4,6.15693672E+4,6.33144531E+4,6.31478477E+4,6.49144766E+4,6.58078516E+4,6.60118047E+4,6.66294063E+4,6.81906563E+4,6.87062813E+4,6.93526094E+4,7.05705781E+4,7.21950234E+4,7.37950469E+4,7.49009922E+4,7.61721094E+4,7.71746328E+4,7.94928047E+4,8.03660625E+4,8.26641250E+4,8.46117344E+4,8.78189688E+4,9.18592500E+4,9.57989844E+4,9.92762344E+4,1.04267344E+5,1.06635781E+5,1.09094703E+5,1.12505891E+5,1.18903117E+5,1.21446781E+5,1.17119242E+5,
535.00,6.02885352E+4,6.11131016E+4,6.09098438E+4,6.20126289E+4,6.27780938E+4,6.44906523E+4,6.45930078E+4,6.55026250E+4,6.67798359E+4,6.69081406E+4,6.82372500E+4,6.89897344E+4,7.00636875E+4,7.06057109E+4,7.25835234E+4,7.43205938E+4,7.48885625E+4,7.63430859E+4,7.74689375E+4,7.87807500E+4,8.05091719E+4,8.31760391E+4,8.58198438E+4,8.77572813E+4,9.20170625E+4,9.59683594E+4,9.92853672E+4,1.03474516E+5,1.05014094E+5,1.07840969E+5,1.13441391E+5,1.16967430E+5,1.21576063E+5,1.17280250E+5,
535.500,6.05107344E+4,6.02416172E+4,6.13224219E+4,6.22585430E+4,6.31570391E+4,6.39166484E+4,6.40685703E+4,6.60001328E+4,6.70766016E+4,6.69883438E+4,6.84612422E+4,6.84163984E+4,6.96852969E+4,7.03117813E+4,7.30695078E+4,7.42270000E+4,7.59748125E+4,7.68675234E+4,7.80496094E+4,7.89293047E+4,8.12356094E+4,8.29964375E+4,8.57773125E+4,8.84945234E+4,9.10294297E+4,9.60833203E+4,9.97626875E+4,1.02199219E+5,1.04699398E+5,1.07047648E+5,1.11381016E+5,1.15158766E+5,1.19428469E+5,1.15098000E+5,
536.00,6.05027031E+4,6.05477188E+4,6.24704727E+4,6.21655078E+4,6.37426250E+4,6.42973750E+4,6.47257813E+4,6.59485547E+4,6.65454219E+4,6.68271563E+4,6.86293672E+4,6.88878672E+4,7.05666406E+4,7.06958906E+4,7.36090625E+4,7.50787109E+4,7.62898672E+4,7.73093281E+4,7.87935078E+4,8.01382734E+4,8.19099922E+4,8.34871094E+4,8.53474141E+4,8.87804766E+4,9.18766250E+4,9.50816953E+4,9.76288984E+4,1.01657383E+5,1.04500844E+5,1.05810750E+5,1.10887734E+5,1.14535734E+5,1.17947016E+5,1.13224375E+5,
536.500,6.11264141E+4,6.03115898E+4,6.16453359E+4,6.23683281E+4,6.34688516E+4,6.41845547E+4,6.49046367E+4,6.68724531E+4,6.65284531E+4,6.83140703E+4,6.89991641E+4,6.94247969E+4,7.12337344E+4,7.14130234E+4,7.42394063E+4,7.58894609E+4,7.66532656E+4,7.77217188E+4,7.92916094E+4,8.00845625E+4,8.22943594E+4,8.41339063E+4,8.55040938E+4,9.01321250E+4,9.15431250E+4,9.52834531E+4,9.82162344E+4,1.00972641E+5,1.03421492E+5,1.04994281E+5,1.09913844E+5,1.12874328E+5,1.16177352E+5,1.09979438E+5,
