Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

494.500,7.03993984E+4,7.12607969E+4,6.89064531E+4,6.80874531E+4,6.62898984E+4,6.38261992E+4,6.20888945E+4,5.94143125E+4,5.71079453E+4,5.31937070E+4,4.83187617E+4,4.37149570E+4,3.90743281E+4,3.45943750E+4,3.11164160E+4,2.77388789E+4,2.49527168E+4,2.21341973E+4,2.01391406E+4,1.83148008E+4,1.74255059E+4,1.57852744E+4,1.46951338E+4,1.33059590E+4,9.82911426E+3,9.37498242E+3,8.78472266E+3,8.45332813E+3,8.27368457E+3,7.85191016E+3,7.56849609E+3,
494.7500,6.20783672E+4,6.23588711E+4,6.17386328E+4,6.10479922E+4,6.04456367E+4,5.92632773E+4,5.75612617E+4,5.48456328E+4,5.26798359E+4,4.96121797E+4,4.62304961E+4,4.18229102E+4,3.74644922E+4,3.36413828E+4,3.06139590E+4,2.69461836E+4,2.41679746E+4,2.16311523E+4,1.95324082E+4,1.77644551E+4,1.63384707E+4,1.51091748E+4,1.48744902E+4,1.31557100E+4,9.63433398E+3,9.31359863E+3,8.73806445E+3,8.42179980E+3,7.93231641E+3,7.93790430E+3,7.48641699E+3,
495.00,5.01893281E+4,5.14194063E+4,5.28543164E+4,5.36064688E+4,5.34061172E+4,5.38997188E+4,5.31318945E+4,5.17887695E+4,4.98636172E+4,4.69859688E+4,4.39325898E+4,3.99625273E+4,3.62286328E+4,3.26704629E+4,2.87977793E+4,2.61842754E+4,2.35192871E+4,2.10512891E+4,1.90186895E+4,1.78468105E+4,1.62954980E+4,1.53586660E+4,1.47150840E+4,1.28514941E+4,9.58881250E+3,9.11983789E+3,8.67100879E+3,8.35985156E+3,8.05876660E+3,7.88304053E+3,7.50360693E+3,
495.2500,4.18820703E+4,4.31510859E+4,4.70444609E+4,4.90186133E+4,4.95881016E+4,5.02057930E+4,5.00712695E+4,4.94322773E+4,4.72182227E+4,4.54066211E+4,4.14168359E+4,3.86613203E+4,3.53789141E+4,3.17803750E+4,2.79755625E+4,2.56258633E+4,2.27223672E+4,2.10071758E+4,1.90767441E+4,1.74377832E+4,1.57438916E+4,1.49860684E+4,1.43224121E+4,1.27182031E+4,9.51202734E+3,9.05015918E+3,8.72169434E+3,8.24525195E+3,7.79123096E+3,7.79347266E+3,7.35290381E+3,
495.500,3.78518125E+4,3.96729961E+4,4.31547969E+4,4.60527422E+4,4.74045938E+4,4.80266211E+4,4.78088008E+4,4.71968750E+4,4.59651641E+4,4.37835625E+4,4.12235820E+4,3.72600977E+4,3.49426406E+4,3.09892637E+4,2.76085156E+4,2.47363945E+4,2.26861621E+4,2.05393691E+4,1.85464004E+4,1.72540586E+4,1.58449453E+4,1.47614443E+4,1.42135176E+4,1.27067207E+4,9.09242969E+3,8.71404590E+3,8.64667871E+3,8.27390918E+3,8.06619092E+3,7.63054492E+3,7.49131787E+3,
495.7500,3.56651133E+4,3.71956289E+4,4.18591367E+4,4.46334023E+4,4.63427188E+4,4.69184883E+4,4.65024063E+4,4.58973984E+4,4.47762227E+4,4.26362031E+4,3.97967109E+4,3.70820469E+4,3.32574531E+4,3.04764395E+4,2.75953398E+4,2.45343145E+4,2.22188652E+4,1.99596445E+4,1.83459141E+4,1.68884961E+4,1.57167158E+4,1.48238223E+4,1.39680400E+4,1.24937539E+4,9.32252246E+3,8.77261719E+3,8.69839648E+3,8.25982227E+3,7.85273486E+3,7.63344775E+3,7.45351953E+3,
496.00,3.40478359E+4,3.59332500E+4,4.13721211E+4,4.43252578E+4,4.60912852E+4,4.72491172E+4,4.63908789E+4,4.54616875E+4,4.38105430E+4,4.20050977E+4,3.96241133E+4,3.64198086E+4,3.30668359E+4,2.98264902E+4,2.71729434E+4,2.42457090E+4,2.17678633E+4,1.98610508E+4,1.80792539E+4,1.64686563E+4,1.54313398E+4,1.45460732E+4,1.39637803E+4,1.26617852E+4,9.14212012E+3,8.92024023E+3,8.41453516E+3,8.29514746E+3,7.71623291E+3,7.62049805E+3,7.47858545E+3,
496.2500,3.42230508E+4,3.64217852E+4,4.16416563E+4,4.53498320E+4,4.70454141E+4,4.79005391E+4,4.71187422E+4,4.62624922E+4,4.41337031E+4,4.20037891E+4,3.93255977E+4,3.63845547E+4,3.30035391E+4,2.94544316E+4,2.71383750E+4,2.37415645E+4,2.16511348E+4,1.95990605E+4,1.79237813E+4,1.65452031E+4,1.54497852E+4,1.42189922E+4,1.37993262E+4,1.25234082E+4,9.20556738E+3,8.95512207E+3,8.39556836E+3,8.07969092E+3,7.74576318E+3,7.41634814E+3,7.16026221E+3,
496.500,3.44775039E+4,3.68357422E+4,4.25657969E+4,4.74800156E+4,4.93580195E+4,4.97953164E+4,4.92664922E+4,4.72314258E+4,4.52675469E+4,4.28923594E+4,3.95578281E+4,3.65995820E+4,3.23836797E+4,2.99101855E+4,2.67813105E+4,2.36207969E+4,2.17122852E+4,1.96772188E+4,1.81133457E+4,1.65958027E+4,1.51178076E+4,1.41878457E+4,1.38126973E+4,1.21945869E+4,9.10526172E+3,8.53462891E+3,8.27812695E+3,8.21823828E+3,7.81597070E+3,7.63517627E+3,7.40014355E+3,
496.7500,3.47142383E+4,3.70400625E+4,4.35037109E+4,4.82391172E+4,5.14296328E+4,5.23282734E+4,5.14760352E+4,4.94931406E+4,4.69024766E+4,4.37074336E+4,4.02362383E+4,3.70434609E+4,3.29022422E+4,2.98690488E+4,2.68505664E+4,2.41648301E+4,2.17620430E+4,1.96286191E+4,1.78449199E+4,1.64516875E+4,1.52316191E+4,1.41700000E+4,1.37987734E+4,1.21361748E+4,9.25463965E+3,8.97395605E+3,8.47257422E+3,8.21452539E+3,7.84556250E+3,7.57393311E+3,7.15969824E+3,
497.00,3.58808555E+4,3.78930039E+4,4.45121211E+4,4.97017656E+4,5.19723750E+4,5.26752109E+4,5.13454922E+4,5.02175547E+4,4.72769844E+4,4.39283164E+4,4.07224805E+4,3.68047461E+4,3.27929180E+4,2.97015762E+4,2.64968770E+4,2.34168730E+4,2.12618906E+4,1.94719277E+4,1.76944355E+4,1.63964590E+4,1.51676309E+4,1.41881963E+4,1.36667383E+4,1.20842266E+4,9.06090234E+3,8.63920117E+3,8.49750098E+3,8.05199414E+3,7.85814795E+3,7.69944336E+3,7.37863330E+3,
497.2500,3.75171094E+4,3.85026680E+4,4.37994805E+4,4.88465000E+4,5.10901250E+4,5.05121875E+4,5.05394375E+4,4.84241172E+4,4.61475664E+4,4.33328164E+4,3.93792266E+4,3.62749414E+4,3.21203770E+4,2.89843008E+4,2.64079941E+4,2.39111680E+4,2.14915508E+4,1.93421699E+4,1.76594512E+4,1.63979805E+4,1.49889043E+4,1.40726064E+4,1.37376523E+4,1.24954844E+4,9.19476855E+3,8.80531348E+3,8.20353223E+3,8.06727979E+3,7.78909766E+3,7.47571729E+3,7.52454102E+3,
497.500,3.91024453E+4,4.02340195E+4,4.37993320E+4,4.66288359E+4,4.82881016E+4,4.75011172E+4,4.75443320E+4,4.58873438E+4,4.40927461E+4,4.17181445E+4,3.84883242E+4,3.50390117E+4,3.15180508E+4,2.84747402E+4,2.55337832E+4,2.35913418E+4,2.09403867E+4,1.92435918E+4,1.78982129E+4,1.63413027E+4,1.49254131E+4,1.42794482E+4,1.35243076E+4,1.22926533E+4,8.94341992E+3,8.55902637E+3,8.25765137E+3,8.01996436E+3,7.67537402E+3,7.59462891E+3,7.40584326E+3,
497.7500,4.05818828E+4,4.09406914E+4,4.28976250E+4,4.45823203E+4,4.52258984E+4,4.45310625E+4,4.41153008E+4,4.29864727E+4,4.10101758E+4,3.91124727E+4,3.67739492E+4,3.33954492E+4,3.06138242E+4,2.77729668E+4,2.52954746E+4,2.29649238E+4,2.06115918E+4,1.87469238E+4,1.73253555E+4,1.61589414E+4,1.51611104E+4,1.37577676E+4,1.36404424E+4,1.21220537E+4,9.02376465E+3,8.57269043E+3,8.48612109E+3,7.98720557E+3,7.88468848E+3,7.43247510E+3,7.20352051E+3,
498.00,4.06611172E+4,4.13673242E+4,4.24249258E+4,4.22754688E+4,4.24614336E+4,4.17130117E+4,4.07056094E+4,3.93354102E+4,3.84877305E+4,3.70433711E+4,3.47604648E+4,3.21158926E+4,2.98991543E+4,2.72237813E+4,2.45130410E+4,2.23715996E+4,2.02849238E+4,1.91018262E+4,1.72227891E+4,1.61275410E+4,1.51418164E+4,1.41595156E+4,1.34841113E+4,1.24846973E+4,9.22975391E+3,8.59656348E+3,8.20866211E+3,7.91773730E+3,7.94854102E+3,7.70096924E+3,7.30850488E+3,
498.2500,3.92095156E+4,3.94049023E+4,4.03406914E+4,3.90461250E+4,3.91009688E+4,3.88176055E+4,3.84348320E+4,3.71676875E+4,3.69265977E+4,3.55200547E+4,3.29080703E+4,3.10387734E+4,2.84210723E+4,2.62809805E+4,2.46196367E+4,2.20442129E+4,2.02697520E+4,1.88917754E+4,1.72932754E+4,1.57621895E+4,1.46047334E+4,1.40494297E+4,1.35741074E+4,1.21161475E+4,8.86544629E+3,8.47010547E+3,8.25758203E+3,8.00163916E+3,7.72398682E+3,7.43148096E+3,7.23152539E+3,
